"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"2020-12-05  17:20:00,000","    74285000","-111,7","   5,5","-122,2","-101,8","20",
"2020-12-05  17:20:00,000","    74290000","-112,6","   5,0","-121,4","-103,3","20",
"2020-12-05  17:20:00,000","    74295000","-114,4","   7,4","-131,4","-105,1","20",
"2020-12-05  17:20:00,000","    74300000","-112,6","   5,7","-128,8","-106,8","20",
"2020-12-05  17:20:00,000","    74305000","-115,4","   8,2","-140,1","-105,3","20",
"2020-12-05  17:20:00,000","    74310000","-112,3","   4,4","-121,3","-105,1","20",
"2020-12-05  17:20:00,000","    74315000","-112,3","   5,0","-123,4","-106,4","20",
"2020-12-05  17:20:00,000","    74320000","-112,0","   6,3","-125,6","-104,1","20",
"2020-12-05  17:20:00,000","    74325000","-110,6","   4,3","-122,2","-104,6","20",
"2020-12-05  17:20:00,000","    74330000","-113,8","   6,0","-124,1","-106,2","20",
"2020-12-05  17:20:00,000","    74335000","-113,5","   4,2","-120,9","-107,3","20",
"2020-12-05  17:20:00,000","    74340000","-115,5","   7,9","-131,2","-104,9","20",
"2020-12-05  17:20:00,000","    74345000","-114,0","   7,3","-139,3","-104,6","20",
"2020-12-05  17:20:00,000","    74350000","-115,0","   5,3","-128,0","-105,1","20",
"2020-12-05  17:20:00,000","    74355000","-115,0","   5,7","-132,8","-106,4","20",
"2020-12-05  17:20:00,000","    74360000","-114,3","   4,5","-121,8","-106,0","20",
"2020-12-05  17:20:00,000","    74365000","-114,2","   5,3","-126,1","-105,6","20",
"2020-12-05  17:20:00,000","    74370000","-114,2","   4,7","-123,2","-106,9","20",
"2020-12-05  17:20:00,000","    74375000","-113,9","   5,5","-125,4","-106,1","20",
"2020-12-05  17:20:00,000","    74380000","-112,5","   5,5","-129,7","-105,5","20",
"2020-12-05  17:20:00,000","    74385000","-111,3","   3,8","-118,9","-106,0","20",
"2020-12-05  17:20:00,000","    74390000","-111,8","   4,4","-122,5","-106,6","20",
"2020-12-05  17:20:00,000","    74395000","-112,4","   3,8","-120,4","-106,7","20",
"2020-12-05  17:20:00,000","    74400000","-114,1","   4,8","-126,6","-105,1","20",
"2020-12-05  17:20:00,000","    74405000","-113,8","   5,2","-124,0","-105,7","20",
"2020-12-05  17:20:00,000","    74410000","-113,3","   5,2","-123,0","-103,4","20",
"2020-12-05  17:20:00,000","    74415000","-113,0","   4,8","-123,6","-103,1","20",
"2020-12-05  17:20:00,000","    74420000","-112,0","   5,5","-123,6","-106,0","20",
"2020-12-05  17:20:00,000","    74425000","-110,8","   3,4","-117,4","-106,4","20",
"2020-12-05  17:20:00,000","    74430000","-113,4","   7,2","-137,2","-106,3","20",
"2020-12-05  17:20:00,000","    74435000","-112,4","   6,0","-128,1","-102,5","20",
"2020-12-05  17:20:00,000","    74440000","-111,7","   4,3","-122,3","-105,7","20",
"2020-12-05  17:20:00,000","    74445000","-114,0","   7,4","-134,5","-105,6","20",
"2020-12-05  17:20:00,000","    74450000","-113,6","   4,7","-123,0","-106,5","20",
"2020-12-05  17:20:00,000","    74455000","-112,9","   4,8","-125,9","-105,1","20",
"2020-12-05  17:20:00,000","    74460000","-115,1","   7,6","-135,9","-105,2","20",
"2020-12-05  17:20:00,000","    74465000","-113,3","   5,4","-125,4","-106,7","20",
"2020-12-05  17:20:00,000","    74470000","-111,8","   3,2","-118,3","-105,1","20",
"2020-12-05  17:20:00,000","    74475000","-112,6","   4,3","-120,2","-106,5","20",
"2020-12-05  17:20:00,000","    74480000","-112,9","   4,9","-121,9","-103,2","20",
"2020-12-05  17:20:00,000","    74485000","-113,7","   4,5","-121,7","-105,8","20",
"2020-12-05  17:20:00,000","    74490000","-114,9","   5,4","-126,4","-107,9","20",
"2020-12-05  17:20:00,000","    74495000","-113,3","   5,2","-129,0","-105,0","20",
"2020-12-05  17:20:00,000","    74500000","-115,2","   6,0","-127,3","-104,5","20",
"2020-12-05  17:20:00,000","    74505000","-114,4","   5,7","-126,3","-106,5","20",
"2020-12-05  17:20:00,000","    74510000","-113,7","   5,5","-127,4","-106,8","20",
"2020-12-05  17:20:00,000","    74515000","-114,2","   7,0","-134,3","-104,6","20",
"2020-12-05  17:20:00,000","    74520000","-115,4","   8,6","-135,5","-104,4","20",
"2020-12-05  17:20:00,000","    74525000","-112,2","   3,8","-120,0","-105,2","20",
"2020-12-05  17:20:00,000","    74530000","-113,8","   4,7","-128,2","-106,7","20",
"2020-12-05  17:20:00,000","    74535000","-114,4","   3,5","-121,3","-108,4","20",
"2020-12-05  17:20:00,000","    74540000","-115,4","   5,2","-127,2","-106,7","20",
"2020-12-05  17:20:00,000","    74545000","-113,7","   4,7","-123,3","-107,5","20",
"2020-12-05  17:20:00,000","    74550000","-114,3","   6,2","-125,8","-103,6","20",
"2020-12-05  17:20:00,000","    74555000","-113,1","   3,9","-120,5","-105,0","20",
"2020-12-05  17:20:00,000","    74560000","-113,2","   5,5","-123,6","-102,3","20",
"2020-12-05  17:20:00,000","    74565000","-112,0","   5,5","-123,5","-102,4","20",
"2020-12-05  17:20:00,000","    74570000","-112,2","   4,2","-122,4","-104,3","20",
"2020-12-05  17:20:00,000","    74575000","-114,0","   5,2","-129,9","-106,9","20",
"2020-12-05  17:20:00,000","    74580000","-112,6","   4,4","-120,9","-104,8","20",
"2020-12-05  17:20:00,000","    74585000","-112,8","   4,4","-120,7","-105,8","20",
"2020-12-05  17:20:00,000","    74590000","-114,8","   7,5","-136,4","-105,2","20",
"2020-12-05  17:20:00,000","    74595000","-113,7","   6,1","-129,1","-105,5","20",
"2020-12-05  17:20:00,000","    74600000","-114,1","   5,4","-126,8","-104,2","20",
"2020-12-05  17:20:00,000","    74605000","-112,6","   5,7","-130,2","-107,1","20",
"2020-12-05  17:20:00,000","    74610000","-113,1","   4,6","-121,5","-104,2","20",
"2020-12-05  17:20:00,000","    74615000","-113,5","   5,1","-122,1","-103,6","20",
"2020-12-05  17:20:00,000","    74620000","-112,4","   4,4","-120,8","-107,3","20",
"2020-12-05  17:20:00,000","    74625000","-114,0","   5,7","-131,3","-107,5","20",
"2020-12-05  17:20:00,000","    74630000","-114,8","   5,8","-127,6","-108,1","20",
"2020-12-05  17:20:00,000","    74635000","-116,0","   7,0","-138,2","-108,4","20",
"2020-12-05  17:20:00,000","    74640000","-114,6","   6,4","-127,2","-106,9","20",
"2020-12-05  17:20:00,000","    74645000","-113,9","   5,9","-127,2","-105,6","20",
"2020-12-05  17:20:00,000","    74650000","-113,3","   4,2","-122,1","-106,2","20",
"2020-12-05  17:20:00,000","    74655000","-113,9","   4,8","-123,2","-106,1","20",
"2020-12-05  17:20:00,000","    74660000","-112,3","   3,8","-123,3","-107,3","20",
"2020-12-05  17:20:00,000","    74665000","-112,1","   4,4","-120,9","-106,9","20",
