"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"17/12/2020  14:21:00,000","   174000000"," -97,6","   5,7","-108,6"," -88,2","33","Meas. Unit: ETM002"
"17/12/2020  14:21:00,000","   175000000"," -96,6","   4,0","-105,5"," -86,6","33","Longitude: 047°56'01,6""W"
"17/12/2020  14:21:00,000","   176000000"," -96,7","   5,4","-110,7"," -88,9","33","Latitude: 16°15'10,5""S"
"17/12/2020  14:21:00,000","   177000000"," -95,8","   4,2","-105,2"," -89,0","33","Measurement Result Type: Compressed Measurement Result"
"17/12/2020  14:21:00,000","   178000000"," -95,8","   4,8","-110,5"," -88,6","33","Meas. Result Properties: "
"17/12/2020  14:21:00,000","   179000000"," -97,1","   5,9","-112,9"," -87,7","33"," Start Date: 17/12/2020"
"17/12/2020  14:21:00,000","   180000000"," -96,5","   5,3","-111,1"," -88,1","33"," Start Time: 14:20:05"
"17/12/2020  14:21:00,000","   181000000"," -96,2","   4,6","-107,0"," -88,9","33"," Stop Date: 17/12/2020"
"17/12/2020  14:21:00,000","   182000000"," -95,8","   5,4","-109,8"," -88,3","33"," Stop Time: 16:20:47"
"17/12/2020  14:21:00,000","   183000000"," -95,9","   6,0","-115,8"," -86,9","33"," Number of Measurements: 4156"
"17/12/2020  14:21:00,000","   184000000"," -96,4","   5,7","-107,5"," -87,1","33"," Compress Time Interval: 1 min"
"17/12/2020  14:21:00,000","   185000000"," -94,8","   5,1","-112,9"," -88,5","33","Timing Definition:"
"17/12/2020  14:21:00,000","   186000000"," -96,4","   5,5","-112,6"," -88,7","33","Name: timing_PRD"
"17/12/2020  14:21:00,000","   187000000"," -96,9","   4,7","-108,8"," -86,2","33","Date: 09/04/2020"
"17/12/2020  14:21:00,000","   188000000"," -96,7","   5,5","-109,9"," -86,2","33","Time: 01:16:03"
"17/12/2020  14:21:00,000","   189000000"," -96,7","   4,1","-104,4"," -89,9","33","Measurement Definition:"
"17/12/2020  14:21:00,000","   190000000"," -97,8","   3,9","-103,6"," -88,3","33","Name: meas_PRD"
"17/12/2020  14:21:00,000","   191000000"," -97,9","   5,9","-111,8"," -88,6","33","Date: 09/04/2020"
"17/12/2020  14:21:00,000","   192000000"," -97,8","   6,2","-114,9"," -89,2","33","Time: 01:13:07"
"17/12/2020  14:21:00,000","   193000000"," -96,8","   6,9","-117,8"," -87,6","33","Measurement Type: Scan"
"17/12/2020  14:21:00,000","   194000000"," -96,1","   5,4","-110,1"," -86,7","33","Minimum Frequency: 174,000000 MHz"
"17/12/2020  14:21:00,000","   195000000"," -95,8","   4,9","-113,0"," -88,0","33","Maximum Frequency: 216,000000 MHz"
"17/12/2020  14:21:00,000","   196000000"," -95,7","   5,2","-108,5"," -87,0","33","Step Width: 1,000000 MHz"
"17/12/2020  14:21:00,000","   197000000"," -95,3","   5,7","-112,2"," -86,7","33","Squelch: Off"
"17/12/2020  14:21:00,000","   198000000"," -95,1","   4,3","-103,6"," -88,1","33","Meas. Parameter: Level"
"17/12/2020  14:21:00,000","   199000000"," -96,0","   5,4","-112,2"," -89,2","33","Range Definition:"
"17/12/2020  14:21:00,000","   200000000"," -95,4","   5,4","-107,4"," -86,3","33","Name: PRD_36_TV2_VHFH"
"17/12/2020  14:21:00,000","   201000000"," -94,7","   5,7","-111,0"," -85,7","33","Date: 22/02/2020"
"17/12/2020  14:21:00,000","   202000000"," -95,6","   6,2","-112,7"," -86,3","33","Time: 01:52:23"
"17/12/2020  14:21:00,000","   203000000"," -95,6","   5,8","-112,1"," -87,6","33","No. of Subranges: 1"
"17/12/2020  14:21:00,000","   204000000"," -94,7","   5,0","-106,6"," -86,6","33","Subrange 1:"
"17/12/2020  14:21:00,000","   205000000"," -94,7","   4,9","-106,3"," -86,2","33","Start Frequency: 174,000000 MHz"
"17/12/2020  14:21:00,000","   206000000"," -93,9","   3,8","-104,3"," -87,2","33","Stop Frequency: 216,000000 MHz"
"17/12/2020  14:21:00,000","   207000000"," -93,6","   5,1","-110,7"," -86,4","33","Device 1:"
"17/12/2020  14:21:00,000","   208000000"," -94,6","   5,7","-112,0"," -87,0","33","Name: ADDx07_dBm"
"17/12/2020  14:21:00,000","   209000000"," -94,9","   4,7","-109,3"," -85,2","33","Azimuth: 0,000 deg"
"17/12/2020  14:21:00,000","   210000000"," -94,4","   4,5","-105,5"," -86,7","33","Elevation: 0,000 deg"
"17/12/2020  14:21:00,000","   211000000"," -94,9","   5,1","-109,7"," -87,0","33","Height: 0,00 m"
"17/12/2020  14:21:00,000","   212000000"," -95,9","   4,5","-110,3"," -89,8","33","Device 2:"
"17/12/2020  14:21:00,000","   213000000"," -97,1","   6,8","-117,3"," -88,9","33","Name: EB500"
"17/12/2020  14:21:00,000","   214000000"," -95,9","   4,6","-108,2"," -89,7","33","Longitude: W047°56´01,6"""
"17/12/2020  14:21:00,000","   215000000"," -95,7","   5,2","-107,8"," -86,5","33","Latitude: S16°15´10,5"""
"17/12/2020  14:21:00,000","   216000000"," -96,2","   5,3","-108,6"," -86,7","33","DF Mode: Normal"
"17/12/2020  14:22:00,000","   174000000"," -97,0","   4,4","-105,5"," -88,1","34","IF Bandwidth: 120 kHz"
"17/12/2020  14:22:00,000","   175000000"," -95,8","   5,5","-109,8"," -86,2","34","DF Integration Time: 1 s"
"17/12/2020  14:22:00,000","   176000000"," -94,3","   5,0","-105,6"," -86,1","34","RF Attenuation: Auto"
"17/12/2020  14:22:00,000","   177000000"," -94,0","   4,3","-107,1"," -87,1","34","IF Attenuation: Normal"
"17/12/2020  14:22:00,000","   178000000"," -95,6","   6,3","-114,8"," -87,6","34","Demodulation: AM"
"17/12/2020  14:22:00,000","   179000000"," -97,6","   5,6","-113,2"," -89,3","34","Meas.Time: Default"
"17/12/2020  14:22:00,000","   180000000"," -97,5","   5,9","-118,6"," -87,7","34","Detector: Fast"
"17/12/2020  14:22:00,000","   181000000"," -95,1","   3,7","-102,2"," -87,4","34",
"17/12/2020  14:22:00,000","   182000000"," -94,7","   6,0","-114,8"," -86,6","34",
"17/12/2020  14:22:00,000","   183000000"," -93,6","   4,6","-106,0"," -85,3","34",
"17/12/2020  14:22:00,000","   184000000"," -95,8","   6,7","-118,0"," -87,1","34",
"17/12/2020  14:22:00,000","   185000000"," -95,9","   6,1","-108,4"," -86,9","34",
"17/12/2020  14:22:00,000","   186000000"," -95,1","   5,8","-109,7"," -86,4","34",
"17/12/2020  14:22:00,000","   187000000"," -94,8","   4,3","-106,1"," -87,7","34",
"17/12/2020  14:22:00,000","   188000000"," -96,4","   4,3","-105,9"," -89,9","34",
"17/12/2020  14:22:00,000","   189000000"," -96,3","   5,2","-112,2"," -89,4","34",
"17/12/2020  14:22:00,000","   190000000"," -94,8","   3,7","-101,2"," -87,9","34",
"17/12/2020  14:22:00,000","   191000000"," -96,5","   5,7","-113,0"," -86,6","34",
