"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"2020-12-05  17:20:00,000","  1559000000","-116,4","   9,4","-136,4","-104,9","19","Meas. Unit: ETM043"
"2020-12-05  17:20:00,000","  1559100000","-113,1","   4,9","-124,8","-105,1","19","Longitude: 051°24'42,3""W"
"2020-12-05  17:20:00,000","  1559200000","-115,8","   7,3","-132,9","-104,1","19","Latitude: 00°42'32,6""N"
"2020-12-05  17:20:00,000","  1559300000","-114,7","   4,5","-126,5","-108,3","19","Measurement Result Type: Compressed Measurement Result"
"2020-12-05  17:20:00,000","  1559400000","-115,0","   5,1","-129,5","-108,9","19","Meas. Result Properties: "
"2020-12-05  17:20:00,000","  1559500000","-113,9","   4,4","-122,5","-105,4","19"," Start Date: 2020-12-05"
"2020-12-05  17:20:00,000","  1559600000","-114,4","   5,9","-126,2","-103,4","19"," Start Time: 17:18:27"
"2020-12-05  17:20:00,000","  1559700000","-115,6","   6,5","-129,5","-107,8","19"," Stop Date: 2020-12-05"
"2020-12-05  17:20:00,000","  1559800000","-115,2","   4,6","-125,1","-107,3","19"," Stop Time: 17:50:05"
"2020-12-05  17:20:00,000","  1559900000","-114,4","   5,8","-125,7","-105,0","19"," Number of Measurements: 601"
"2020-12-05  17:20:00,000","  1560000000","-113,7","   8,7","-144,5","-104,4","19"," Compress Time Interval: 1 min"
"2020-12-05  17:20:00,000","  1560100000","-113,1","   6,8","-132,2","-103,9","19","Timing Definition:"
"2020-12-05  17:20:00,000","  1560200000","-113,9","   5,0","-123,8","-104,5","19","Name: timing_CP"
"2020-12-05  17:20:00,000","  1560300000","-113,8","   5,3","-131,0","-105,0","19","Date: 2020-04-09"
"2020-12-05  17:20:00,000","  1560400000","-113,5","   5,4","-128,0","-104,7","19","Time: 01:27:43"
"2020-12-05  17:20:00,000","  1560500000","-112,5","   4,0","-121,4","-104,5","19","Measurement Definition:"
"2020-12-05  17:20:00,000","  1560600000","-114,6","   4,8","-124,6","-107,7","19","Name: meas_PMEC"
"2020-12-05  17:20:00,000","  1560700000","-117,8","   6,7","-129,4","-109,2","19","Date: 2020-04-09"
"2020-12-05  17:20:00,000","  1560800000","-115,1","   5,3","-129,0","-106,4","19","Time: 00:57:36"
"2020-12-05  17:20:00,000","  1560900000","-113,7","   3,7","-120,7","-108,8","19","Measurement Type: Scan"
"2020-12-05  17:20:00,000","  1561000000","-113,8","   6,7","-130,8","-104,9","19","Minimum Frequency: 1,559000000 GHz"
"2020-12-05  17:20:00,000","  1561100000","-114,2","   6,4","-128,3","-105,7","19","Maximum Frequency: 1,610000000 GHz"
"2020-12-05  17:20:00,000","  1561200000","-115,1","   4,3","-123,6","-108,0","19","Step Width: 100,000 kHz"
"2020-12-05  17:20:00,000","  1561300000","-115,0","   5,8","-130,5","-107,0","19","Squelch: Off"
"2020-12-05  17:20:00,000","  1561400000","-114,0","   5,0","-128,5","-106,7","19","Meas. Parameter: Level"
"2020-12-05  17:20:00,000","  1561500000","-115,4","   6,8","-127,9","-105,7","19","Range Definition:"
"2020-12-05  17:20:00,000","  1561600000","-113,2","   3,9","-122,6","-106,4","19","Name: PMEC_18_SLMA"
"2020-12-05  17:20:00,000","  1561700000","-115,2","   5,1","-126,9","-107,9","19","Date: 2020-02-22"
"2020-12-05  17:20:00,000","  1561800000","-114,7","   4,2","-124,7","-108,3","19","Time: 01:57:27"
"2020-12-05  17:20:00,000","  1561900000","-115,0","   6,2","-126,5","-107,4","19","No. of Subranges: 1"
"2020-12-05  17:20:00,000","  1562000000","-115,7","   7,3","-136,1","-107,4","19","Subrange 1:"
"2020-12-05  17:20:00,000","  1562100000","-113,9","   5,5","-126,2","-105,6","19","Start Frequency: 1,559000000 GHz"
"2020-12-05  17:20:00,000","  1562200000","-113,5","   6,6","-127,1","-103,9","19","Stop Frequency: 1,610000000 GHz"
"2020-12-05  17:20:00,000","  1562300000","-113,2","   5,0","-123,5","-105,8","19","Device 1:"
"2020-12-05  17:20:00,000","  1562400000","-116,1","   6,6","-133,3","-107,7","19","Name: ADDx07_dBm"
"2020-12-05  17:20:00,000","  1562500000","-116,6","   7,2","-128,5","-103,2","19","Azimuth: 0,000 deg"
"2020-12-05  17:20:00,000","  1562600000","-114,7","   6,2","-125,0","-106,3","19","Elevation: 0,000 deg"
"2020-12-05  17:20:00,000","  1562700000","-114,9","   6,3","-126,4","-104,5","19","Height: 0,00 m"
"2020-12-05  17:20:00,000","  1562800000","-114,0","   7,6","-133,4","-106,3","19","Device 2:"
"2020-12-05  17:20:00,000","  1562900000","-111,7","   2,9","-116,8","-106,9","19","Name: EB500"
"2020-12-05  17:20:00,000","  1563000000","-114,1","   6,4","-131,5","-106,6","19","Longitude: W051°24´42,3"""
"2020-12-05  17:20:00,000","  1563100000","-114,5","   5,9","-127,7","-105,0","19","Latitude: N00°42´32,6"""
"2020-12-05  17:20:00,000","  1563200000","-115,2","   6,3","-128,2","-105,7","19","DF Mode: Normal"
"2020-12-05  17:20:00,000","  1563300000","-113,9","   5,7","-126,9","-105,2","19","IF Bandwidth: 120 kHz"
"2020-12-05  17:20:00,000","  1563400000","-114,0","   5,3","-125,8","-104,0","19","DF Integration Time: 1 s"
"2020-12-05  17:20:00,000","  1563500000","-114,5","   4,0","-121,9","-105,8","19","RF Attenuation: Auto"
"2020-12-05  17:20:00,000","  1563600000","-113,0","   3,5","-118,5","-105,4","19","IF Attenuation: Normal"
"2020-12-05  17:20:00,000","  1563700000","-112,8","   4,8","-127,8","-106,1","19","Demodulation: AM"
"2020-12-05  17:20:00,000","  1563800000","-113,8","   6,0","-126,1","-104,0","19","Meas.Time: Default"
"2020-12-05  17:20:00,000","  1563900000","-114,6","   6,4","-129,4","-101,3","19","Detector: Fast"
"2020-12-05  17:20:00,000","  1564000000","-112,8","   4,9","-122,2","-102,5","19",
"2020-12-05  17:20:00,000","  1564100000","-112,7","   3,9","-122,6","-106,8","19",
"2020-12-05  17:20:00,000","  1564200000","-114,7","   5,8","-125,2","-105,8","19",
"2020-12-05  17:20:00,000","  1564300000","-113,7","   4,5","-122,0","-106,5","19",
"2020-12-05  17:20:00,000","  1564400000","-112,2","   3,5","-117,1","-105,1","19",
"2020-12-05  17:20:00,000","  1564500000","-112,3","   5,0","-124,9","-103,7","19",
"2020-12-05  17:20:00,000","  1564600000","-113,2","   4,8","-122,4","-104,5","19",
"2020-12-05  17:20:00,000","  1564700000","-113,8","   4,7","-124,7","-106,0","19",
"2020-12-05  17:20:00,000","  1564800000","-114,9","   5,6","-126,6","-107,6","19",
"2020-12-05  17:20:00,000","  1564900000","-115,1","   5,4","-123,9","-105,3","19",
"2020-12-05  17:20:00,000","  1565000000","-113,1","   4,7","-122,4","-103,8","19",
"2020-12-05  17:20:00,000","  1565100000","-113,1","   6,1","-126,5","-102,8","19",
"2020-12-05  17:20:00,000","  1565200000","-111,9","   5,3","-124,1","-103,6","19",
"2020-12-05  17:20:00,000","  1565300000","-109,9","   3,5","-117,8","-105,1","19",
"2020-12-05  17:20:00,000","  1565400000","-111,6","   3,7","-116,5","-105,7","19",
"2020-12-05  17:20:00,000","  1565500000","-113,0","   5,1","-124,7","-106,6","19",
"2020-12-05  17:20:00,000","  1565600000","-112,6","   4,9","-120,2","-105,0","19",
"2020-12-05  17:20:00,000","  1565700000","-111,7","   5,9","-128,7","-103,6","19",
"2020-12-05  17:20:00,000","  1565800000","-113,0","   5,5","-130,1","-103,2","19",
"2020-12-05  17:20:00,000","  1565900000","-115,6","   5,6","-127,9","-105,3","19",
"2020-12-05  17:20:00,000","  1566000000","-115,2","   6,0","-126,2","-105,8","19",
"2020-12-05  17:20:00,000","  1566100000","-114,2","   5,4","-121,7","-104,2","19",
"2020-12-05  17:20:00,000","  1566200000","-112,5","   5,6","-127,9","-104,1","19",
"2020-12-05  17:20:00,000","  1566300000","-111,5","   3,3","-118,3","-104,0","19",
"2020-12-05  17:20:00,000","  1566400000","-112,8","   4,4","-121,7","-105,7","19",
"2020-12-05  17:20:00,000","  1566500000","-112,2","   5,0","-121,5","-104,1","19",
"2020-12-05  17:20:00,000","  1566600000","-110,8","   4,5","-121,7","-102,1","19",
"2020-12-05  17:20:00,000","  1566700000","-110,4","   4,4","-121,2","-102,3","19",
"2020-12-05  17:20:00,000","  1566800000","-111,4","   5,1","-122,2","-103,7","19",
"2020-12-05  17:20:00,000","  1566900000","-110,9","   4,7","-120,1","-103,9","19",
"2020-12-05  17:20:00,000","  1567000000","-112,5","   5,1","-120,7","-103,4","19",
"2020-12-05  17:20:00,000","  1567100000","-114,7","   7,0","-126,6","-100,0","19",
"2020-12-05  17:20:00,000","  1567200000","-116,6","   8,1","-130,7"," -98,6","19",
"2020-12-05  17:20:00,000","  1567300000","-113,7","   6,0","-125,1"," -98,7","19",
"2020-12-05  17:20:00,000","  1567400000","-113,1","   5,9","-125,6","-100,7","19",
"2020-12-05  17:20:00,000","  1567500000","-112,4","   4,5","-123,2","-104,7","19",
"2020-12-05  17:20:00,000","  1567600000","-112,7","   4,3","-122,0","-107,6","19",
"2020-12-05  17:20:00,000","  1567700000","-113,6","   8,4","-142,8","-105,9","19",
"2020-12-05  17:20:00,000","  1567800000","-113,1","   4,2","-120,5","-105,8","19",
"2020-12-05  17:20:00,000","  1567900000","-114,0","   3,7","-120,0","-106,6","19",
"2020-12-05  17:20:00,000","  1568000000","-114,2","   5,1","-127,2","-107,1","19",
"2020-12-05  17:20:00,000","  1568100000","-113,0","   2,9","-119,0","-107,2","19",
"2020-12-05  17:20:00,000","  1568200000","-111,7","   3,9","-118,7","-106,0","19",
"2020-12-05  17:20:00,000","  1568300000","-111,5","   5,3","-121,6","-103,9","19",
"2020-12-05  17:20:00,000","  1568400000","-111,5","   6,0","-123,5","-104,3","19",
"2020-12-05  17:20:00,000","  1568500000","-111,8","   4,7","-125,1","-105,8","19",
"2020-12-05  17:20:00,000","  1568600000","-114,0","   4,6","-124,6","-107,3","19",
"2020-12-05  17:20:00,000","  1568700000","-115,8","   5,0","-122,3","-107,2","19",
"2020-12-05  17:20:00,000","  1568800000","-112,3","   3,7","-119,8","-106,6","19",
"2020-12-05  17:20:00,000","  1568900000","-112,6","   4,0","-121,6","-107,4","19",
"2020-12-05  17:20:00,000","  1569000000","-115,3","   4,8","-125,4","-109,0","19",
"2020-12-05  17:20:00,000","  1569100000","-112,8","   4,3","-125,8","-107,5","19",
"2020-12-05  17:20:00,000","  1569200000","-113,3","   4,3","-121,8","-105,7","19",
"2020-12-05  17:20:00,000","  1569300000","-115,0","   4,4","-122,8","-106,6","19",
"2020-12-05  17:20:00,000","  1569400000","-114,4","   5,6","-127,2","-108,6","19",
"2020-12-05  17:20:00,000","  1569500000","-113,4","   5,3","-127,5","-105,8","19",
"2020-12-05  17:20:00,000","  1569600000","-115,7","   5,8","-126,6","-108,4","19",
"2020-12-05  17:20:00,000","  1569700000","-113,9","   5,2","-128,5","-107,4","19",
"2020-12-05  17:20:00,000","  1569800000","-115,2","   7,4","-137,3","-104,5","19",
"2020-12-05  17:20:00,000","  1569900000","-112,9","   6,3","-124,1","-103,0","19",
"2020-12-05  17:20:00,000","  1570000000","-112,3","   5,1","-124,7","-104,5","19",
"2020-12-05  17:20:00,000","  1570100000","-112,6","   4,7","-119,5","-106,6","19",
"2020-12-05  17:20:00,000","  1570200000","-111,6","   3,3","-120,4","-107,2","19",
"2020-12-05  17:20:00,000","  1570300000","-111,1","   3,6","-119,3","-106,1","19",
"2020-12-05  17:20:00,000","  1570400000","-113,2","   6,1","-125,9","-104,5","19",
"2020-12-05  17:20:00,000","  1570500000","-113,7","   7,0","-133,1","-107,6","19",
"2020-12-05  17:20:00,000","  1570600000","-113,3","   4,9","-121,8","-104,6","19",
"2020-12-05  17:20:00,000","  1570700000","-114,5","   4,9","-127,7","-107,0","19",
"2020-12-05  17:20:00,000","  1570800000","-114,9","   4,7","-124,7","-108,9","19",
"2020-12-05  17:20:00,000","  1570900000","-115,0","   6,7","-128,2","-104,2","19",
"2020-12-05  17:20:00,000","  1571000000","-113,2","   8,8","-143,1","-100,7","19",
"2020-12-05  17:20:00,000","  1571100000","-111,1","   4,1","-117,6","-101,4","19",
"2020-12-05  17:20:00,000","  1571200000","-112,7","   4,5","-121,3","-107,6","19",
"2020-12-05  17:20:00,000","  1571300000","-113,7","   4,3","-124,5","-107,7","19",
"2020-12-05  17:20:00,000","  1571400000","-115,0","   5,9","-132,2","-106,9","19",
"2020-12-05  17:20:00,000","  1571500000","-113,5","   5,3","-126,5","-107,2","19",
"2020-12-05  17:20:00,000","  1571600000","-112,6","   4,4","-122,3","-106,0","19",
"2020-12-05  17:20:00,000","  1571700000","-112,6","   3,8","-123,8","-105,7","19",
"2020-12-05  17:20:00,000","  1571800000","-114,2","   6,7","-133,6","-103,8","19",
"2020-12-05  17:20:00,000","  1571900000","-112,5","   4,4","-120,8","-104,7","19",
"2020-12-05  17:20:00,000","  1572000000","-113,3","   3,8","-120,4","-107,2","19",
"2020-12-05  17:20:00,000","  1572100000","-115,8","   6,8","-128,9","-106,3","19",
"2020-12-05  17:20:00,000","  1572200000","-113,0","   5,1","-121,8","-106,9","19",
"2020-12-05  17:20:00,000","  1572300000","-113,8","   5,5","-122,6","-106,6","19",
"2020-12-05  17:20:00,000","  1572400000","-114,8","   4,8","-126,3","-108,3","19",
"2020-12-05  17:20:00,000","  1572500000","-113,0","   4,7","-120,2","-106,4","19",
"2020-12-05  17:20:00,000","  1572600000","-111,9","   4,0","-118,2","-105,0","19",
"2020-12-05  17:20:00,000","  1572700000","-112,7","   4,6","-123,3","-105,9","19",
"2020-12-05  17:20:00,000","  1572800000","-111,6","   4,0","-123,9","-106,9","19",
"2020-12-05  17:20:00,000","  1572900000","-113,3","   4,4","-122,3","-106,6","19",
"2020-12-05  17:20:00,000","  1573000000","-113,6","   4,7","-124,3","-105,8","19",
"2020-12-05  17:20:00,000","  1573100000","-114,7","   5,5","-127,8","-103,6","19",
"2020-12-05  17:20:00,000","  1573200000","-113,9","   4,3","-119,7","-100,2","19",
"2020-12-05  17:20:00,000","  1573300000","-112,9","   4,3","-120,3","-104,5","19",
"2020-12-05  17:20:00,000","  1573400000","-114,2","   6,2","-127,5","-104,7","19",
"2020-12-05  17:20:00,000","  1573500000","-113,2","   5,8","-124,4","-103,2","19",
"2020-12-05  17:20:00,000","  1573600000","-112,9","   6,7","-129,3","-103,5","19",
"2020-12-05  17:20:00,000","  1573700000","-112,4","   5,1","-125,8","-105,5","19",
"2020-12-05  17:20:00,000","  1573800000","-113,8","   5,7","-125,5","-105,9","19",
"2020-12-05  17:20:00,000","  1573900000","-113,6","   5,3","-126,2","-106,0","19",
"2020-12-05  17:20:00,000","  1574000000","-112,1","   3,9","-118,9","-107,9","19",
"2020-12-05  17:20:00,000","  1574100000","-113,9","   5,9","-130,2","-106,9","19",
"2020-12-05  17:20:00,000","  1574200000","-113,9","   5,8","-125,6","-105,1","19",
"2020-12-05  17:20:00,000","  1574300000","-115,1","   8,0","-130,9","-103,7","19",
"2020-12-05  17:20:00,000","  1574400000","-113,7","   6,4","-131,9","-105,7","19",
"2020-12-05  17:20:00,000","  1574500000","-113,6","   5,8","-128,7","-105,8","19",
"2020-12-05  17:20:00,000","  1574600000","-112,5","   5,4","-124,2","-101,9","19",
"2020-12-05  17:20:00,000","  1574700000","-110,8","   4,4","-119,0"," -99,7","19",
"2020-12-05  17:20:00,000","  1574800000","-111,1","   4,4","-118,8","-101,4","19",
"2020-12-05  17:20:00,000","  1574900000","-113,4","   6,8","-130,0","-101,7","19",
"2020-12-05  17:20:00,000","  1575000000","-113,0","   5,9","-123,3","-102,3","19",
"2020-12-05  17:20:00,000","  1575100000","-112,8","   6,2","-126,4","-102,8","19",
"2020-12-05  17:20:00,000","  1575200000","-113,5","   5,3","-125,9","-103,5","19",
"2020-12-05  17:20:00,000","  1575300000","-112,3","   4,3","-120,0","-104,3","19",
"2020-12-05  17:20:00,000","  1575400000","-114,7","   7,2","-132,2","-107,8","19",
"2020-12-05  17:20:00,000","  1575500000","-113,1","   4,2","-120,6","-106,3","19",
"2020-12-05  17:20:00,000","  1575600000","-113,5","   5,0","-122,3","-104,1","19",
"2020-12-05  17:20:00,000","  1575700000","-113,0","   5,3","-122,6","-103,0","19",
"2020-12-05  17:20:00,000","  1575800000","-112,0","   4,5","-120,6","-105,8","19",
"2020-12-05  17:20:00,000","  1575900000","-112,6","   5,2","-129,7","-107,2","19",
"2020-12-05  17:20:00,000","  1576000000","-113,4","   4,4","-125,5","-106,5","19",
"2020-12-05  17:20:00,000","  1576100000","-115,4","   5,8","-127,4","-107,3","19",
"2020-12-05  17:20:00,000","  1576200000","-114,1","   4,9","-125,7","-106,2","19",
"2020-12-05  17:20:00,000","  1576300000","-113,0","   5,8","-126,4","-103,7","19",
"2020-12-05  17:20:00,000","  1576400000","-113,4","   7,8","-135,0","-106,3","19",
"2020-12-05  17:20:00,000","  1576500000","-110,4","   2,3","-114,4","-105,6","19",
"2020-12-05  17:20:00,000","  1576600000","-112,0","   5,5","-129,4","-105,5","19",
"2020-12-05  17:20:00,000","  1576700000","-113,2","   4,7","-125,3","-105,7","19",
"2020-12-05  17:20:00,000","  1576800000","-113,3","   4,8","-123,5","-105,6","19",
"2020-12-05  17:20:00,000","  1576900000","-115,3","   7,3","-136,6","-104,5","19",
"2020-12-05  17:20:00,000","  1577000000","-113,3","   5,8","-129,0","-104,0","19",
"2020-12-05  17:20:00,000","  1577100000","-112,7","   5,4","-128,7","-106,8","19",
"2020-12-05  17:20:00,000","  1577200000","-111,5","   4,3","-119,5","-104,2","19",
"2020-12-05  17:20:00,000","  1577300000","-112,6","   6,2","-128,9","-102,0","19",
"2020-12-05  17:20:00,000","  1577400000","-114,0","   5,5","-123,3","-104,0","19",
"2020-12-05  17:20:00,000","  1577500000","-112,5","   5,8","-130,1","-105,8","19",
"2020-12-05  17:20:00,000","  1577600000","-113,7","   6,9","-136,3","-105,2","19",
"2020-12-05  17:20:00,000","  1577700000","-115,4","   5,8","-127,3","-105,4","19",
"2020-12-05  17:20:00,000","  1577800000","-113,5","   4,1","-125,8","-106,3","19",
"2020-12-05  17:20:00,000","  1577900000","-112,3","   3,3","-119,0","-106,7","19",
"2020-12-05  17:20:00,000","  1578000000","-113,8","   7,8","-139,0","-105,8","19",
"2020-12-05  17:20:00,000","  1578100000","-112,9","   4,9","-125,8","-105,8","19",
"2020-12-05  17:20:00,000","  1578200000","-114,0","   5,0","-124,3","-107,2","19",
"2020-12-05  17:20:00,000","  1578300000","-116,4","   5,5","-123,9","-106,8","19",
"2020-12-05  17:20:00,000","  1578400000","-116,4","   6,6","-138,1","-108,9","19",
"2020-12-05  17:20:00,000","  1578500000","-113,4","   4,6","-122,9","-108,0","19",
"2020-12-05  17:20:00,000","  1578600000","-111,9","   4,9","-122,5","-104,1","19",
"2020-12-05  17:20:00,000","  1578700000","-111,7","   4,5","-118,6","-103,7","19",
"2020-12-05  17:20:00,000","  1578800000","-111,9","   6,7","-129,9","-102,4","19",
"2020-12-05  17:20:00,000","  1578900000","-112,4","   4,5","-123,3","-107,6","19",
"2020-12-05  17:20:00,000","  1579000000","-114,6","   7,3","-133,4","-107,5","19",
"2020-12-05  17:20:00,000","  1579100000","-114,2","   5,4","-128,0","-107,3","19",
"2020-12-05  17:20:00,000","  1579200000","-115,3","   5,3","-126,1","-107,0","19",
"2020-12-05  17:20:00,000","  1579300000","-113,3","   4,0","-120,6","-105,6","19",
"2020-12-05  17:20:00,000","  1579400000","-112,1","   3,7","-117,1","-105,2","19",
"2020-12-05  17:20:00,000","  1579500000","-112,6","   5,5","-128,4","-106,3","19",
"2020-12-05  17:20:00,000","  1579600000","-112,7","   5,2","-124,5","-107,0","19",
