"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"17/12/2020  14:22:00,000","    65000000"," -91,9","   5,6","-104,2"," -85,9","34","IF Attenuation: Normal"
"17/12/2020  14:22:00,000","    66000000"," -91,3","   4,7","-104,7"," -84,0","34","Demodulation: AM"
"17/12/2020  14:22:00,000","    67000000"," -90,4","   4,7","-103,0"," -81,8","34","Meas.Time: Default"
"17/12/2020  14:22:00,000","    68000000"," -91,6","   6,9","-112,0"," -81,8","34","Detector: Fast"
"17/12/2020  14:22:00,000","    69000000"," -92,9","   9,2","-135,2"," -82,6","34",
"17/12/2020  14:22:00,000","    70000000"," -91,1","   5,1","-106,7"," -84,4","34",
"17/12/2020  14:22:00,000","    71000000"," -91,2","   5,0","-106,7"," -81,2","34",
"17/12/2020  14:22:00,000","    72000000"," -91,2","   4,1"," -99,6"," -82,3","34",
"17/12/2020  14:22:00,000","    73000000"," -92,0","   4,8","-103,8"," -81,4","34",
"17/12/2020  14:22:00,000","    74000000"," -91,7","   4,1","-100,9"," -85,5","34",
"17/12/2020  14:22:00,000","    75000000"," -93,2","   4,7","-103,3"," -84,7","34",
"17/12/2020  14:22:00,000","    76000000"," -93,3","   6,4","-115,2"," -82,9","34",
"17/12/2020  14:22:00,000","    77000000"," -91,8","   5,0","-102,5"," -82,4","34",
"17/12/2020  14:22:00,000","    78000000"," -91,4","   4,9","-104,1"," -81,3","34",
"17/12/2020  14:22:00,000","    79000000"," -90,1","   3,7"," -97,9"," -80,8","34",
"17/12/2020  14:22:00,000","    80000000"," -90,1","   4,5","-104,7"," -82,4","34",
"17/12/2020  14:22:00,000","    81000000"," -90,4","   4,7","-102,4"," -82,9","34",
"17/12/2020  14:22:00,000","    82000000"," -90,5","   4,7"," -99,5"," -81,0","34",
"17/12/2020  14:22:00,000","    83000000"," -91,3","   5,2","-107,3"," -81,2","34",
"17/12/2020  14:22:00,000","    84000000"," -91,3","   5,4","-106,3"," -81,3","34",
"17/12/2020  14:22:00,000","    85000000"," -91,6","   6,3","-108,8"," -80,3","34",
"17/12/2020  14:22:00,000","    86000000"," -92,3","   6,3","-109,0"," -82,4","34",
"17/12/2020  14:22:00,000","    87000000"," -83,2","   2,5"," -88,2"," -77,9","34",
"17/12/2020  14:22:00,000","    88000000"," -76,6","   2,3"," -82,2"," -71,9","34",
"17/12/2020  14:23:00,000","    54000000"," -92,4","   4,5","-102,4"," -82,0","34",
"17/12/2020  14:23:00,000","    55000000"," -91,9","   5,2","-106,7"," -84,2","34",
"17/12/2020  14:23:00,000","    56000000"," -93,0","   7,3","-121,9"," -82,4","34",
"17/12/2020  14:23:00,000","    57000000"," -92,9","   6,9","-114,7"," -80,0","34",
"17/12/2020  14:23:00,000","    58000000"," -92,0","   6,3","-106,9"," -78,8","34",
"17/12/2020  14:23:00,000","    59000000"," -91,0","   5,4","-105,6"," -81,9","34",
"17/12/2020  14:23:00,000","    60000000"," -89,9","   4,4"," -98,0"," -81,3","34",
"17/12/2020  14:23:00,000","    61000000"," -90,6","   5,5","-109,3"," -80,3","34",
"17/12/2020  14:23:00,000","    62000000"," -90,1","   4,6","-101,6"," -80,4","34",
"17/12/2020  14:23:00,000","    63000000"," -90,4","   5,1"," -99,8"," -82,0","34",
"17/12/2020  14:23:00,000","    64000000"," -91,1","   5,8","-103,9"," -80,6","34",
"17/12/2020  14:23:00,000","    65000000"," -92,8","   9,4","-131,1"," -79,0","34",
"17/12/2020  14:23:00,000","    66000000"," -92,1","   7,4","-118,7"," -79,4","34",
"17/12/2020  14:23:00,000","    67000000"," -91,8","   5,9","-108,6"," -79,6","34",
"17/12/2020  14:23:00,000","    68000000"," -91,0","   5,3","-104,9"," -82,4","34",
"17/12/2020  14:23:00,000","    69000000"," -90,7","   5,3","-104,3"," -82,6","34",
"17/12/2020  14:23:00,000","    70000000"," -91,8","   5,8","-106,5"," -80,6","34",
"17/12/2020  14:23:00,000","    71000000"," -93,7","   6,1","-105,3"," -81,0","34",
"17/12/2020  14:23:00,000","    72000000"," -92,1","   5,8","-115,2"," -85,2","34",
"17/12/2020  14:23:00,000","    73000000"," -93,0","   4,2","-102,9"," -84,7","34",
"17/12/2020  14:23:00,000","    74000000"," -92,7","   5,6","-107,6"," -84,1","34",
"17/12/2020  14:23:00,000","    75000000"," -94,0","   7,2","-114,6"," -83,0","34",
"17/12/2020  14:23:00,000","    76000000"," -92,2","   4,7","-105,7"," -84,3","34",
"17/12/2020  14:23:00,000","    77000000"," -91,3","   4,5","-101,2"," -84,3","34",
